feature,coefficient,abs_value
num__thyroiditis_flag,0.6524338784030512,0.6524338784030512
num__nodular_goiter_flag,-0.45474744486451296,0.45474744486451296
num__age,-0.4001477907612267,0.4001477907612267
num__bmi,0.30623044177276093,0.30623044177276093
num__other_cancer_history,0.20175844614688554,0.20175844614688554
num__smoking_bin,0.16417544669117656,0.16417544669117656
num__diabetes,0.08930646673895291,0.08930646673895291
cat__sex_0,0.08608370479584235,0.08608370479584235
num__thyroid_history,-0.06805254597195556,0.06805254597195556
num__hepatitis,0.05532230027611764,0.05532230027611764
num__hypertension,0.04948718811670922,0.04948718811670922
num__drinking_bin,-0.016385989739250515,0.016385989739250515
cat__sex_1,0.00031442718987146744,0.00031442718987146744
