feature,mean_abs_shap
num__thyroiditis_flag,0.603297145813404
num__nodular_goiter_flag,0.4533716492009119
num__age,0.34081563566622386
num__bmi,0.23342363268482322
num__smoking_bin,0.09912632434746277
num__other_cancer_history,0.07910233523432204
num__diabetes,0.051123395768082086
num__thyroid_history,0.04094791313478158
num__hypertension,0.040628501422841135
cat__sex_0,0.028928128704649204
num__hepatitis,0.019754925431966972
num__drinking_bin,0.010679139265077573
cat__sex_1,0.00010566216031727322
