variable,missing_n,missing_pct,dtype
drinking_years,957,96.18,float64
cigs_per_day,902,90.65,float64
smoking_years,890,89.45,float64
malignant,135,13.57,float64
height_cm,0,0.0,float64
sex_raw,0,0.0,str
age,0,0.0,int64
weight_kg,0,0.0,float64
id,0,0.0,int64
pmh_raw,0,0.0,str
drinking_raw,0,0.0,str
smoking_raw,0,0.0,str
bmi_raw,0,0.0,float64
bmi,0,0.0,float64
pathology_raw,0,0.0,str
sex,0,0.0,float64
birthplace_raw,0,0.0,str
smoking_bin,0,0.0,float64
bmi_group,0,0.0,float64
bmi_diff,0,0.0,float64
drinking_bin,0,0.0,float64
hypertension,0,0.0,float64
diabetes,0,0.0,float64
hepatitis,0,0.0,float64
bmi_calc,0,0.0,float64
thyroid_history,0,0.0,float64
other_cancer_history,0,0.0,float64
birthplace_region,0,0.0,str
birthplace_province,0,0.0,str
pathology_main,0,0.0,str
indeterminate_label,0,0.0,int64
papillary_ca,0,0.0,int64
medullary_ca,0,0.0,int64
follicular_carcinoma,0,0.0,int64
follicular_adenoma,0,0.0,int64
follicular_lesion,0,0.0,int64
nodular_goiter_flag,0,0.0,float64
thyroiditis_flag,0,0.0,float64
ln_metastasis,0,0.0,float64
final_analysis_include,0,0.0,int64
review_flag,0,0.0,str
