variable,OR,CI95_low,CI95_high,p_value,n
age,0.9731349613391079,0.9568213414520089,0.9897267253083789,0.0015929885324645898,562
thyroid_history,0.3334252348906651,0.1634345962962143,0.6802255445377225,0.002534047237525483,562
drinking_bin,2.0600612233884275,1.1439190162832515,3.7099236778994,0.0160406046994106,562
sex,1.8400348759199667,1.0863759248829796,3.1165347713007407,0.023319482902269373,562
thyroiditis_flag,1.3942580172425891,0.9546043233965544,2.0363991352233723,0.08550030401406206,562
hypertension,0.72192818154723,0.42305524622850826,1.2319438275694636,0.23209382953479274,562
smoking_bin,0.691350472237372,0.36442097222704506,1.3115751065091026,0.258560836665368,562
bmi,0.9764350244816026,0.928903237381721,1.026399003325456,0.34895904840370195,562
other_cancer_history,1.4533060429344828,0.6056996332717165,3.4870393482348345,0.4024796410858078,562
hepatitis,1.3339946327743009,0.6383836960236795,2.7875738233211917,0.44344094579960913,562
diabetes,0.8209272770284279,0.4277604792457218,1.5754648380739802,0.5529870289427905,562
nodular_goiter_flag,1.108664770433659,0.750945720983994,1.6367861735600944,0.6037690162472882,562
