variable,OR,CI95_low,CI95_high,p_value,n
thyroiditis_flag,4.153774605774636,2.691962733588767,6.409391653270185,1.2363665646830668e-10,860
nodular_goiter_flag,0.447170880728744,0.32446676399079594,0.6162782101694486,8.750252109557266e-07,860
age,0.966820313398273,0.953442101457157,0.9803862415672207,2.0711357198166525e-06,860
bmi,1.063891016707953,1.0135093752335638,1.1167771340753931,0.01234470695051093,860
other_cancer_history,2.5613379788991955,1.067547639620543,6.145348459093883,0.03517067590853018,860
hypertension,1.2367686724108833,0.7906210105558023,1.9346775871560518,0.35192443920736194,860
diabetes,1.2755870922467896,0.7086026315142614,2.2962410207671824,0.41705631458765136,860
hepatitis,1.23403609466653,0.6188516922509588,2.460759341871965,0.5503802766298778,860
sex,1.1106261085751001,0.6972601068966156,1.769053386029387,0.6586590530671166,860
thyroid_history,0.8864049097333151,0.49708050000354975,1.5806567829430358,0.682837779830324,860
smoking_bin,1.1244207856694115,0.6347834136619346,1.9917377739153634,0.6876761678505967,860
drinking_bin,1.102390665617237,0.6552249540677275,1.8547296956495325,0.7134348700487123,860
