variable,OR,CI95_low,CI95_high,p_value,n
age,0.968595747820438,0.9542671132619888,0.9831395315393856,2.7138294562023546e-05,562
thyroid_history,0.35686468941249494,0.18206058792581195,0.6995056316162807,0.0026928272022743727,562
sex,1.8222566500873565,1.2271583969302724,2.7059418792994436,0.0029320740236369325,562
drinking_bin,2.069340958223718,1.2558098376830236,3.4098888803760987,0.004318825945894833,562
hypertension,0.5818874310756343,0.36936679760900093,0.9166849447096868,0.019535300750670892,562
thyroiditis_flag,1.31602540824657,0.9226009332347499,1.877217779390512,0.12965974333398234,562
nodular_goiter_flag,0.7804542987218062,0.5503376854600095,1.1067912092631125,0.16430759819348895,562
diabetes,0.6654707134353132,0.36665861202615213,1.2078027241550733,0.18051500222543626,562
smoking_bin,1.326233695800832,0.80023972435558,2.197961138824924,0.2733322401239029,562
hepatitis,1.1951638249434153,0.5988586370685779,2.3852316390483996,0.6130774860521169,562
bmi,0.9900544395319393,0.9469547584543306,1.0351157586840252,0.6598216990608738,562
other_cancer_history,0.8807398008727063,0.3887251629037517,1.9955039469193252,0.7608783542709874,562
