variable,OR,CI95_low,CI95_high,p_value,n
nodular_goiter_flag,0.35499255078405295,0.26575218605649303,0.47420009213161995,2.367439577710684e-12,860
thyroiditis_flag,4.346833523716657,2.866359669335694,6.591971651375508,4.625189120588402e-12,860
age,0.9614890501793403,0.9501505450206958,0.9729628620006039,8.660028250062624e-11,860
bmi,1.0653309719805109,1.0216384621417363,1.1108920835671185,0.0030570855515930084,860
hypertension,0.7505632386263609,0.5236825680141045,1.0757378793676378,0.11818198241798994,860
sex,1.2764016690491615,0.9081037262936553,1.7940695248558503,0.16001463162364393,860
drinking_bin,1.3072758849833428,0.85234009750763,2.005033254279913,0.21950054176944178,860
other_cancer_history,1.6184614640411223,0.7178670705752999,3.6488893528532067,0.24571112150955798,860
hepatitis,1.3473233638652637,0.7130079451939032,2.5459467304022008,0.35852361227857577,860
thyroid_history,0.8315251525056034,0.5027421813337235,1.3753253753547459,0.47236335796322715,860
smoking_bin,1.1609525239081715,0.7483356863394643,1.8010777614544393,0.5053502700428856,860
diabetes,0.9772549172081819,0.5930714614474413,1.610307079819261,0.9280545344836646,860
